0, 0, , , , , , , , 1000000, , , , 
1, 1, 1, , , , , , , 1000001, 1000004, , , 
2, 7, 2, 2, , , , , , 1000002, 1000005, 1000008, , 
3, 8, 8, 3, 3, , , , , 1000003, 1000006, 1000009, 1000012, 
4, 9, 9, 9, 4, 4, , , , 1000000, 1000007, 1000010, 1000013, 
5, 10, 10, 10, 10, 5, 5, , , 1000001, 1000004, 1000011, 1000014, 
6, 16, 11, 11, 11, 11, 6, 7, , 1000002, 1000005, 1000008, 1000015, 
7, 17, 17, 12, 12, 12, 12, 8, 8, 1000003, 1000006, 1000009, 1000012, 
8, 18, 18, 18, 13, 14, 13, 14, 9, 1000000, 1000007, 1000010, 1000013, 
9, 19, 19, 19, 19, 15, 15, 15, 15, 1000001, 1000004, 1000011, 1000014, 
10, 25, 20, 21, 20, 21, 16, 16, 16, 1000002, 1000005, 1000008, 1000015, 
11, 26, 26, 22, 22, 22, 22, 17, 17, 1000003, 1000006, 1000009, 1000012, 
12, 28, 27, 28, 23, 23, 23, 23, 18, 1000000, 1000007, 1000010, 1000013, 
13, 29, 29, 29, 29, 24, 24, 24, 24, 1000001, 1000004, 1000011, 1000014, 
14, 35, 30, 30, 30, 30, 25, 25, 25, 1000002, 1000005, 1000008, 1000015, 
15, 36, 36, 31, 31, 31, 31, 26, 26, 1000003, 1000006, 1000009, 1000012, 
16, 37, 37, 37, 32, 32, 32, 32, 27, 1000000, 1000007, 1000010, 1000013, 
17, 38, 38, 38, 38, 33, 33, 33, 33, 1000001, 1000004, 1000011, 1000014, 
18, 44, 39, 39, 39, 39, 34, 35, 34, 1000002, 1000005, 1000008, 1000015, 
19, 45, 45, 40, 40, 40, 40, 36, 36, 1000003, 1000006, 1000009, 1000012, 
20, 0, 46, 46, 41, , 41, 42, 37, 1000016, 1000007, 1000010, 1000013, 
21, 1, 1, 47, 47, , , 43, 43, 1000017, 1000020, 1000011, 1000014, 
22, 7, 2, 2, 48, , , , 44, 1000018, 1000021, 1000024, 1000015, 
23, 8, 8, 3, 3, , , , , 1000019, 1000022, 1000025, , 
24, 9, 9, 9, 4, 4, , , , 1000016, 1000023, 1000026, , 
25, 10, 10, 10, 10, 5, 5, , , 1000017, 1000020, 1000027, , 
26, 16, 11, 11, 11, 11, 6, 7, , 1000018, 1000021, 1000024, , 
27, 17, 17, 12, 12, 12, 12, 8, 8, 1000019, 1000022, 1000025, , 
28, 18, 18, 18, 13, 14, 13, 14, 9, 1000016, 1000023, 1000026, , 
29, 19, 19, 19, 19, 15, 15, 15, 15, 1000017, 1000020, 1000027, , 
30, 25, 20, 21, 20, 21, 16, 16, 16, 1000018, 1000021, 1000024, , 
31, 26, 26, 22, 22, 22, 22, 17, 17, 1000019, 1000022, 1000025, , 
32, 28, 27, 28, 23, 23, 23, 23, 18, 1000016, 1000023, 1000026, , 
33, 29, 29, 29, 29, 24, 24, 24, 24, 1000017, 1000020, 1000027, , 
34, 35, 30, 30, 30, 30, 25, 25, 25, 1000018, 1000021, 1000024, , 
35, 36, 36, 31, 31, 31, 31, 26, 26, 1000019, 1000022, 1000025, , 
36, 37, 37, 37, 32, 32, 32, 32, 27, 1000016, 1000023, 1000026, , 
37, 38, 38, 38, 38, 33, 33, 33, 33, 1000017, 1000020, 1000027, , 
38, 44, 39, 39, 39, 39, 34, 35, 34, 1000018, 1000021, 1000024, , 
39, 45, 45, 40, 40, 40, 40, 36, 36, 1000019, 1000022, 1000025, , 
40, , 46, 46, 41, , 41, 42, 37, , 1000023, 1000026, , 
41, , , 47, 47, , , 43, 43, , , 1000027, , 
42, , , , 48, , , , 44, , , , , 
